time,CH1
0,0.0193481
0.004,0.0231934
0.008,0.0262451
0.012,0.0283813
0.016,0.0307007
0.02,0.0340576
0.024,0.0385132
0.028,0.0426636
0.032,0.0460815
0.036,0.0507812
0.04,0.0562744
0.044,0.0633545
0.048,0.0714722
0.052,0.0784302
0.056,0.0842285
0.06,0.0894165
0.064,0.0953979
0.068,0.102478
0.072,0.112244
0.076,0.123657
0.08,0.134949
0.084,0.145386
0.088,0.155029
0.092,0.164368
0.096,0.173706
0.1,0.182556
0.104,0.190857
0.108,0.19812
0.112,0.203613
0.116,0.207581
0.12,0.209412
0.124,0.207581
0.128,0.202209
0.132,0.193237
0.136,0.182922
0.14,0.171082
0.144,0.157471
0.148,0.140198
0.152,0.119446
0.156,0.0979614
0.16,0.0761108
0.164,0.0564575
0.168,0.0383301
0.172,0.0215454
0.176,0.00695801
0.18,-0.00598145
0.184,-0.0162354
0.188,-0.0224609
0.192,-0.0258789
0.196,-0.027771
0.2,-0.0298462
0.204,-0.0327759
0.208,-0.0367432
0.212,-0.0405273
0.216,-0.0426025
0.22,-0.0436401
0.224,-0.0429688
0.228,-0.0418701
0.232,-0.0414429
0.236,-0.0412598
0.24,-0.0404053
0.244,-0.0385742
0.248,-0.0357056
0.252,-0.0332031
0.256,-0.0319214
0.26,-0.0318604
0.264,-0.0333252
0.268,-0.0345459
0.272,-0.0354614
0.276,-0.0357056
0.28,-0.0352783
0.284,-0.0341187
0.288,-0.0324707
0.292,-0.0310669
0.296,-0.0314941
0.3,-0.0322266
0.304,-0.0334473
0.308,-0.0327759
0.312,-0.0298462
0.316,-0.0275879
0.32,-0.0263672
0.324,-0.0267944
0.328,-0.0275269
0.332,-0.0272217
0.336,-0.026123
0.34,-0.0246582
0.344,-0.0233154
0.348,-0.0228271
0.352,-0.0223999
0.356,-0.0209351
0.36,-0.0195923
0.364,-0.0196533
0.368,-0.0203247
0.372,-0.0210571
0.376,-0.020752
0.38,-0.0196533
0.384,-0.0189819
0.388,-0.0194702
0.392,-0.0197144
0.396,-0.0197144
0.4,-0.019043
0.404,-0.0177002
0.408,-0.0161133
0.412,-0.0148315
0.416,-0.0148926
0.42,-0.0151367
0.424,-0.015625
0.428,-0.015625
0.432,-0.0149536
0.436,-0.0144043
0.44,-0.0140381
0.444,-0.0144653
0.448,-0.015564
0.452,-0.0161133
0.456,-0.0164185
0.46,-0.0172119
0.464,-0.0176392
0.468,-0.0181274
0.472,-0.0181274
0.476,-0.0172729
0.48,-0.0178223
0.484,-0.0194702
0.488,-0.0210571
0.492,-0.0220337
0.496,-0.0197144
0.5,-0.0167236
0.504,-0.0151367
0.508,-0.0164185
0.512,-0.0203857
0.516,-0.0250244
0.52,-0.0282593
0.524,-0.0279541
0.528,-0.0256348
0.532,-0.0230103
0.536,-0.0220337
0.54,-0.0228882
0.544,-0.0250244
0.548,-0.02771
0.552,-0.0310669
0.556,-0.0324097
0.56,-0.03125
0.564,-0.0282593
0.568,-0.024353
0.572,-0.0209351
0.576,-0.0205078
0.58,-0.0222778
0.584,-0.0247192
0.588,-0.0266724
0.592,-0.0275269
0.596,-0.0275269
0.6,-0.0272217
0.604,-0.0273438
0.608,-0.0273438
0.612,-0.0266724
0.616,-0.026001
0.62,-0.0252686
0.624,-0.0259399
0.628,-0.0271606
0.632,-0.0288086
0.636,-0.0297852
0.64,-0.0280151
0.644,-0.0263062
0.648,-0.0253906
0.652,-0.0255737
0.656,-0.0258179
0.66,-0.0250854
0.664,-0.024353
0.668,-0.024231
0.672,-0.0251465
0.676,-0.026001
0.68,-0.0264893
0.684,-0.0253906
0.688,-0.0238647
0.692,-0.0222168
0.696,-0.0212402
0.7,-0.0213623
0.704,-0.0223999
0.708,-0.0223999
0.712,-0.0223999
0.716,-0.0233154
0.72,-0.0249634
0.724,-0.0256348
0.728,-0.0244141
0.732,-0.0212402
0.736,-0.0180054
0.74,-0.0166626
0.744,-0.017395
0.748,-0.019165
0.752,-0.0201416
0.756,-0.0195312
0.76,-0.0178223
0.764,-0.0167847
0.768,-0.0168457
0.772,-0.0181885
0.776,-0.0194092
0.78,-0.0205688
0.784,-0.0205078
0.788,-0.0196533
0.792,-0.0202637
0.796,-0.0203247
0.8,-0.0192871
0.804,-0.0162354
0.808,-0.0133057
0.812,-0.0111694
0.816,-0.0115356
0.82,-0.0136719
0.824,-0.0144043
