time(sec),ch1,ch2,ch3
5,-0.137,-0.137,-0.137
5.008,-0.137,-0.137,-0.137
5.016,-0.137,-0.137,-0.137
5.023,-0.137,-0.137,-0.137
5.031,-0.137,-0.137,-0.137
5.039,-0.137,-0.137,-0.137
5.047,-0.137,-0.137,-0.137
5.055,-0.137,-0.137,-0.137
5.063,-0.137,-0.137,-0.137
5.07,-0.137,-0.137,-0.137
5.078,-0.137,-0.137,-0.137
5.086,-0.137,-0.137,-0.137
5.094,-0.137,-0.137,-0.137
5.102,-0.137,-0.137,-0.137
5.109,-0.137,-0.137,-0.137
5.117,-0.137,-0.137,-0.137
5.125,-0.137,-0.137,-0.137
5.133,-0.137,-0.137,-0.137
5.141,-0.137,-0.137,-0.137
5.148,-0.137,-0.137,-0.137
5.156,-0.137,-0.137,-0.137
5.164,-0.137,-0.137,-0.137
5.172,-0.137,-0.137,-0.137
5.18,-0.137,-0.137,-0.137
5.188,-0.137,-0.137,-0.137
5.195,-0.137,-0.137,-0.137
5.203,-0.137,-0.137,-0.137
5.211,-0.137,-0.137,-0.137
5.219,-0.137,-0.137,-0.137
5.227,-0.137,-0.137,-0.137
5.234,-0.137,-0.137,-0.137
5.242,-0.137,-0.137,-0.137
5.25,-0.137,-0.137,-0.137
5.258,-0.137,-0.137,-0.137
5.266,-0.137,-0.137,-0.137
5.273,-0.137,-0.137,-0.137
5.281,-0.137,-0.137,-0.137
5.289,-0.137,-0.137,-0.137
5.297,-0.137,-0.137,-0.137
5.305,-0.137,-0.137,-0.137
5.313,-0.137,-0.137,-0.137
5.32,-0.137,-0.137,-0.137
5.328,-0.137,-0.137,-0.137
5.336,-0.137,-0.137,-0.137
5.344,-0.137,-0.137,-0.137
5.352,-0.137,-0.137,-0.137
5.359,-0.137,-0.137,-0.137
5.367,-0.137,-0.137,-0.137
5.375,-0.137,-0.137,-0.137
5.383,-0.137,-0.137,-0.137
5.391,-0.137,-0.137,-0.137
5.398,-0.137,-0.137,-0.137
5.406,-0.137,-0.137,-0.137
5.414,-0.137,-0.137,-0.137
5.422,-0.137,-0.137,-0.137
5.43,0.078,0.078,0.078
5.438,0.627,0.627,0.627
5.445,0.765,0.765,0.765
5.453,0.804,0.804,0.804
5.461,0.804,0.804,0.804
5.469,0.804,0.804,0.804
5.477,0.804,0.804,0.804
5.484,0.804,0.804,0.804
5.492,0.804,0.804,0.804
5.5,0.804,0.804,0.804
5.508,0.804,0.804,0.804
5.516,0.804,0.804,0.804
5.523,0.804,0.804,0.804
5.531,0.804,0.804,0.804
5.539,0.804,0.804,0.804
5.547,0.804,0.804,0.804
5.555,0.804,0.804,0.804
5.563,0.804,0.804,0.804
5.57,0.569,0.569,0.569
5.578,0.02,0.02,0.02
5.586,-0.098,-0.098,-0.098
5.594,-0.137,-0.137,-0.137
5.602,-0.137,-0.137,-0.137
5.609,-0.137,-0.137,-0.137
5.617,-0.137,-0.137,-0.137
5.625,-0.137,-0.137,-0.137
5.633,-0.137,-0.137,-0.137
5.641,-0.137,-0.137,-0.137
5.648,-0.137,-0.137,-0.137
5.656,-0.137,-0.137,-0.137
5.664,-0.137,-0.137,-0.137
5.672,-0.137,-0.137,-0.137
5.68,-0.137,-0.137,-0.137
5.688,-0.137,-0.137,-0.137
5.695,-0.137,-0.137,-0.137
5.703,-0.137,-0.137,-0.137
5.711,-0.137,-0.137,-0.137
5.719,-0.137,-0.137,-0.137
5.727,-0.137,-0.137,-0.137
5.734,-0.137,-0.137,-0.137
5.742,-0.137,-0.137,-0.137
5.75,-0.137,-0.137,-0.137
5.758,-0.137,-0.137,-0.137
5.766,-0.137,-0.137,-0.137
5.773,-0.137,-0.137,-0.137
5.781,-0.137,-0.137,-0.137
5.789,-0.137,-0.137,-0.137
5.797,-0.137,-0.137,-0.137
5.805,-0.137,-0.137,-0.137
5.813,-0.137,-0.137,-0.137
5.82,-0.137,-0.137,-0.137
5.828,-0.137,-0.137,-0.137
5.836,-0.137,-0.137,-0.137
5.844,-0.137,-0.137,-0.137
5.852,-0.137,-0.137,-0.137
5.859,-0.137,-0.137,-0.137
5.867,-0.137,-0.137,-0.137
5.875,-0.137,-0.137,-0.137
5.883,-0.137,-0.137,-0.137
