,Values,time
0,-0.56,1
1,0.842,2
2,0.753,3
3,-0.771,4
4,-0.963,5
5,0.669,6
6,-0.973,7
7,-0.664,8
8,-0.877,9
9,-0.935,10
10,0.278,11
11,0.472,12
12,0.168,13
13,-0.657,14
14,0.162,15
15,-0.672,16
16,0.856,17
17,-0.772,18
18,-0.857,19
19,0.983,20
20,0.654,21
21,0.995,22
22,0.812,23
23,0.796,24
24,-0.617,25
25,0.988,26
26,0.795,27
27,-0.96,28
28,0.522,29
29,-1.0,30
30,-0.98,31
31,0.657,32
32,0.532,33
33,0.546,34
34,-0.995,35
35,-0.1,36
36,-0.085,37
37,0.988,38
38,-0.995,39
39,-0.131,40
40,-0.102,41
41,0.257,42
42,0.862,43
43,-0.99,44
44,-0.997,45
45,-0.997,46
46,0.287,47
47,0.991,48
48,0.876,49
49,0.471,50
50,0.992,51
51,0.284,52
52,-0.925,53
53,-0.276,54
54,-0.961,55
55,0.277,56
56,0.838,57
57,0.315,58
58,0.047,59
59,0.73,60
60,-0.02,61
61,0.282,62
62,-0.041,63
63,0.999,64
64,-0.33,65
65,0.052,66
66,-0.417,67
67,0.166,68
68,-0.863,69
69,-0.433,70
70,0.876,71
71,-0.969,72
72,-0.413,73
73,-0.086,74
74,-0.835,75
75,0.99,76
76,0.674,77
77,-0.647,78
78,-0.552,79
79,0.095,80
80,0.933,81
81,-0.971,82
82,0.089,83
83,-0.15,84
84,-0.331,85
85,-0.982,86
86,-0.963,87
87,-0.056,88
88,0.09,89
89,-0.995,90
90,-0.956,91
91,-0.923,92
92,-0.15,93
93,0.272,94
94,0.998,95
95,-0.997,96
96,0.076,97
97,0.787,98
98,-0.721,99
99,-0.999,100
100,-0.353,101
101,0.294,102
102,0.996,103
103,-0.991,104
104,-0.512,105
105,-0.968,106
106,0.144,107
107,0.948,108
108,-0.949,109
109,-0.995,110
110,-0.188,111
111,0.257,112
112,0.075,113
113,0.994,114
114,-0.167,115
115,-0.998,116
116,-0.84,117
117,-0.977,118
118,0.767,119
119,0.619,120
120,0.962,121
121,0.93,122
122,-0.787,123
123,-0.998,124
124,0.346,125
125,-0.848,126
126,-1.0,127
127,0.321,128
128,0.681,129
129,0.904,130
130,-0.436,131
131,0.164,132
132,-0.211,133
133,-0.518,134
134,0.974,135
135,0.999,136
136,0.289,137
137,0.8,138
138,0.653,139
139,0.821,140
140,0.976,141
141,0.388,142
142,0.477,143
143,0.032,144
144,-0.022,145
145,0.913,146
146,0.624,147
147,0.335,148
148,-0.913,149
149,-0.488,150
150,0.912,151
151,0.792,152
152,-0.507,153
153,0.639,154
154,-0.713,155
155,-0.792,156
156,-0.699,157
157,-0.662,158
158,0.06,159
159,0.347,160
160,-0.19,161
161,0.23,162
162,-0.219,163
163,-0.697,164
164,-0.472,165
165,-0.066,166
166,-0.489,167
167,0.684,168
168,-0.996,169
169,0.168,170
170,-0.85,171
171,0.326,172
172,0.518,173
173,-0.401,174
174,0.337,175
175,-0.669,176
176,-0.918,177
177,0.363,178
178,-0.922,179
179,0.687,180
180,0.412,181
181,0.306,182
182,-0.106,183
183,-0.035,184
184,-0.481,185
185,0.925,186
186,0.808,187
187,1.0,188
188,0.944,189
189,-0.07,190
190,1.0,191
191,0.37,192
192,-0.936,193
193,-0.416,194
194,-0.06,195
195,-0.973,196
196,-0.921,197
197,-0.484,198
198,0.977,199
199,-0.898,200
200,0.933,201
201,-0.217,202
202,0.471,203
203,-0.706,204
204,0.799,205
205,0.472,206
206,0.895,207
207,0.542,208
208,0.653,209
209,-0.859,210
210,0.766,211
211,-0.526,212
212,-0.922,213
213,0.545,214
214,0.905,215
215,-0.894,216
216,1.0,217
217,-0.26,218
218,0.377,219
219,0.218,220
220,-0.115,221
221,0.166,222
222,-0.95,223
223,-0.837,224
224,-0.568,225
225,-0.947,226
226,0.983,227
227,0.484,228
228,-0.302,229
229,0.534,230
230,0.99,231
231,0.557,232
232,-0.851,233
233,-0.996,234
234,-0.844,235
235,-0.894,236
236,-0.767,237
237,-0.92,238
238,0.671,239
239,0.127,240
240,0.988,241
241,0.723,242
242,0.002,243
243,-0.567,244
244,0.889,245
245,-0.063,246
246,0.647,247
247,0.615,248
248,-0.997,249
249,0.853,250
250,-0.115,251
251,-0.484,252
252,0.227,253
253,0.669,254
254,-0.998,255
255,0.401,256
256,-0.674,257
257,-0.489,258
258,0.658,259
259,0.509,260
260,-0.988,261
261,-0.622,262
262,-0.453,263
263,-0.885,264
264,0.576,265
265,-0.449,266
266,0.828,267
267,-0.656,268
268,0.942,269
269,-0.026,270
270,0.948,271
271,0.689,272
272,0.384,273
273,-0.984,274
274,-0.174,275
275,0.166,276
276,-0.988,277
277,0.064,278
278,-0.719,279
279,-0.263,280
280,0.376,281
281,0.005,282
282,0.999,283
283,-0.411,284
284,-0.976,285
285,0.303,286
286,-0.869,287
287,0.743,288
288,0.358,289
289,0.955,290
290,0.767,291
291,0.977,292
292,0.957,293
293,0.848,294
294,-0.882,295
295,-0.979,296
296,-0.578,297
297,0.591,298
298,0.945,299
299,0.961,300
300,-0.981,301
301,-0.353,302
302,0.594,303
303,-0.752,304
304,0.939,305
305,-0.812,306
306,-0.975,307
307,-0.765,308
308,-0.713,309
309,0.567,310
310,0.422,311
311,0.426,312
312,-0.156,313
313,0.724,314
314,0.778,315
315,-0.906,316
316,0.043,317
317,-1.0,318
318,0.661,319
319,-0.496,320
320,-0.293,321
321,-0.555,322
322,0.171,323
323,0.298,324
324,0.548,325
325,0.985,326
326,0.007,327
327,0.878,328
328,-0.023,329
329,0.834,330
330,0.657,331
331,0.992,332
332,-0.902,333
333,0.948,334
334,0.401,335
335,0.98,336
336,-0.452,337
337,0.999,338
338,-0.038,339
339,0.187,340
340,0.749,341
341,-0.983,342
342,0.034,343
343,0.931,344
344,1.0,345
345,0.79,346
346,0.565,347
347,-0.053,348
348,-0.374,349
349,-0.341,350
350,-0.239,351
351,-0.998,352
352,0.935,353
353,-0.837,354
354,-0.403,355
355,0.916,356
356,-0.747,357
357,-0.162,358
358,-0.552,359
359,0.942,360
360,-0.889,361
361,-0.954,362
362,-0.968,363
363,0.921,364
364,0.817,365
365,0.909,366
366,-0.903,367
367,-0.955,368
368,-0.167,369
369,-0.515,370
370,-0.022,371
371,0.576,372
372,-0.016,373
373,-0.131,374
374,0.334,375
375,-0.664,376
376,0.62,377
377,-0.099,378
378,-0.279,379
379,-0.338,380
380,0.461,381
381,-0.739,382
382,-0.584,383
383,-0.094,384
384,-0.642,385
385,-0.977,386
386,-0.891,387
387,0.081,388
388,0.639,389
389,-0.312,390
390,0.079,391
391,0.998,392
392,-0.984,393
393,-0.811,394
394,0.991,395
395,0.744,396
396,0.952,397
397,0.346,398
398,0.111,399
399,0.313,400
400,0.997,401
401,-0.973,402
402,-0.794,403
403,-0.992,404
404,0.661,405
405,0.246,406
406,-0.408,407
407,0.591,408
408,-0.586,409
409,-0.915,410
410,-0.908,411
411,0.986,412
412,0.979,413
413,0.029,414
414,-0.918,415
415,-0.527,416
416,0.647,417
417,0.442,418
418,0.617,419
419,-0.239,420
420,0.289,421
421,0.654,422
422,0.997,423
423,-0.771,424
424,0.294,425
425,-0.147,426
426,-1.0,427
427,-0.214,428
428,0.598,429
429,-0.373,430
430,0.121,431
431,-0.702,432
432,0.69,433
433,-0.281,434
434,0.956,435
435,-0.417,436
436,0.573,437
437,0.138,438
438,0.134,439
439,0.228,440
440,0.638,441
441,0.598,442
442,-0.63,443
443,-0.717,444
444,0.502,445
445,0.819,446
446,-0.882,447
447,0.122,448
448,0.037,449
449,0.471,450
450,0.902,451
451,0.982,452
452,0.712,453
453,0.714,454
454,-0.328,455
455,-0.733,456
456,0.923,457
457,-0.969,458
458,0.91,459
459,0.723,460
460,-0.14,461
461,-0.861,462
462,0.364,463
463,-0.947,464
464,1.0,465
465,-0.797,466
466,0.463,467
467,0.626,468
468,0.97,469
469,-0.372,470
470,-0.984,471
471,0.995,472
472,0.041,473
473,-0.752,474
474,-0.897,475
475,-0.994,476
476,-0.418,477
477,-0.725,478
478,0.992,479
479,0.936,480
480,-0.999,481
481,-0.109,482
482,0.733,483
483,0.639,484
484,-0.496,485
485,-0.98,486
486,-0.943,487
487,-0.609,488
488,-0.598,489
489,-0.863,490
490,0.879,491
491,-0.994,492
492,-0.431,493
493,-0.275,494
494,-0.513,495
495,-0.998,496
496,0.963,497
497,-0.523,498
498,-0.716,499
499,-0.996,500
500,-0.172,501
501,0.601,502
502,0.108,503
503,-0.459,504
504,0.655,505
505,0.142,506
506,-1.0,507
507,0.383,508
508,-0.973,509
509,0.915,510
510,0.308,511
511,-0.611,512
512,0.662,513
513,-0.997,514
514,-0.169,515
515,-0.911,516
516,-0.803,517
517,0.947,518
518,-0.009,519
519,0.856,520
520,0.892,521
521,0.596,522
522,-0.132,523
523,0.472,524
524,0.698,525
525,-0.92,526
526,0.999,527
527,-0.794,528
528,-0.831,529
529,0.956,530
530,-0.699,531
531,0.905,532
532,-0.28,533
533,0.544,534
534,-0.436,535
535,-0.992,536
536,0.995,537
537,-0.866,538
538,0.993,539
539,0.843,540
540,-0.27,541
541,0.999,542
542,-0.839,543
543,0.08,544
544,0.159,545
545,-1.0,546
546,0.858,547
547,-0.622,548
548,-0.223,549
549,-0.015,550
550,0.923,551
551,0.644,552
552,-0.822,553
553,0.506,554
554,-0.636,555
555,-0.516,556
556,-0.461,557
557,0.936,558
558,-0.373,559
559,0.164,560
560,-0.125,561
561,0.911,562
562,0.867,563
563,0.531,564
564,-0.639,565
565,0.197,566
566,0.77,567
567,0.638,568
568,0.476,569
569,0.466,570
570,0.607,571
571,-0.572,572
572,0.333,573
573,0.614,574
574,-0.954,575
575,-0.267,576
576,-0.442,577
577,0.51,578
578,-0.186,579
579,0.62,580
580,-0.066,581
581,-1.0,582
582,0.835,583
583,-0.517,584
584,0.912,585
585,-0.361,586
586,-0.982,587
587,-0.14,588
588,0.837,589
589,-0.916,590
590,0.91,591
591,-0.063,592
